"Rank","State","Energy Consumption
                  
                  (Trillion Btu)"
1,"Vermont","125.7"
2,"District of Columbia","143.8"
3,"Rhode Island","175.8"
4,"Hawaii","232.5"
5,"Delaware","277.1"
6,"New Hampshire","295.5"
7,"Maine","365.1"
8,"South Dakota","396.6"
9,"Montana","429.3"
10,"Wyoming","504.4"
11,"Idaho","550.1"
12,"North Dakota","625.9"
13,"Alaska","640.1"
14,"Connecticut","667.0"
15,"New Mexico","699.7"
16,"Nevada","710.1"
17,"West Virginia","803.9"
18,"Utah","829.0"
19,"Nebraska","863.7"
20,"Oregon","983.0"
21,"Arkansas","1,034.7"
22,"Mississippi","1,037.3"
23,"Kansas","1,069.5"
24,"Maryland","1,212.6"
25,"Massachusetts","1,278.4"
26,"Colorado","1,451.1"
27,"Arizona","1,508.2"
28,"Iowa","1,526.1"
29,"South Carolina","1,533.3"
30,"Oklahoma","1,579.2"
31,"Kentucky","1,595.5"
32,"Missouri","1,702.1"
33,"Wisconsin","1,708.1"
34,"Minnesota","1,731.5"
36,"Washington","1,779.4"
35,"Alabama","1,838.7"
37,"New Jersey","1,893.9"
38,"Tennessee","2,039.1"
39,"Virginia","2,273.1"
40,"North Carolina","2,470.9"
41,"Indiana","2,564.4"
42,"Michigan","2,610.6"
43,"Georgia","2,727.6"
44,"New York","3,354.2"
45,"Ohio","3,404.5"
46,"Pennsylvania","3,413.0"
47,"Illinois","3,612.9"
48,"Florida","4,003.1"
49,"Louisiana","4,200.4"
50,"California","6,922.8"
51,"Texas","13,480.8"
